Day Index,Users,Pageviews
2013-31-08,80,226
2013-01-09,121,277
2013-02-09,259,760
2013-03-09,242,803
2013-04-09,260,599
2013-05-09,242,844
2013-06-09,257,766
2013-07-09,131,293
2013-08-09,127,285
2013-09-09,316,815
2013-10-09,527,2233
2013-11-09,542,2211
2013-12-09,354,1040
2013-13-09,303,1017
2013-14-09,151,416
2013-15-09,156,347
2013-16-09,356,1095
2013-17-09,357,936
2013-18-09,362,1214
2013-19-09,405,1389
2013-20-09,362,1440
2013-21-09,169,850
2013-22-09,162,857
2013-23-09,337,832
2013-24-09,317,905
2013-25-09,301,764
2013-26-09,276,618
2013-27-09,279,715
2013-28-09,145,337
2013-29-09,168,431
2013-30-09,406,1261
2013-01-10,384,1269
2013-02-10,360,955
2013-03-10,389,1257
2013-04-10,346,955
2013-05-10,164,481
2013-06-10,176,465
2013-07-10,413,1169
2013-08-10,354,927
2013-09-10,346,947
2013-10-10,371,1046
2013-11-10,303,922
2013-12-10,149,384
2013-13-10,206,628
2013-14-10,426,1216
2013-15-10,405,1217
2013-16-10,417,1087
2013-17-10,326,1007
2013-18-10,328,1044
2013-19-10,154,488
2013-20-10,209,557
2013-21-10,564,1637
2013-22-10,364,1161
2013-23-10,400,1656
2013-24-10,334,1302
2013-25-10,312,1005
2013-26-10,141,464
2013-27-10,187,553
2013-28-10,354,1027
2013-29-10,366,1104
2013-30-10,354,1179
2013-31-10,293,843
2013-01-11,157,425
2013-02-11,130,369
2013-03-11,158,452
2013-04-11,379,1503
2013-05-11,357,1175
2013-06-11,382,1184
2013-07-11,389,1099
2013-08-11,343,1137
2013-09-11,157,526
2013-10-11,152,410
2013-11-11,220,614
2013-12-11,432,1245
2013-13-11,416,1265
2013-14-11,379,1222
2013-15-11,341,992
2013-16-11,172,469
2013-17-11,182,612
2013-18-11,426,1232
2013-19-11,385,1287
2013-20-11,403,1554
2013-21-11,434,1488
2013-22-11,447,1502
2013-23-11,271,874
2013-24-11,205,602
2013-25-11,417,1362
2013-26-11,442,1624
2013-27-11,421,1456
2013-28-11,393,1320
2013-29-11,314,976
2013-30-11,168,573
2013-01-12,754,2507
2013-02-12,603,1880
2013-03-12,426,1188
2013-04-12,402,1336
2013-05-12,357,1164
2013-06-12,354,969
2013-07-12,164,493
2013-08-12,208,585
2013-09-12,396,1275
2013-10-12,744,2547
2013-11-12,646,2077
2013-12-12,521,1618
2013-13-12,380,1102
2013-14-12,200,552
2013-15-12,176,380
2013-16-12,429,1237
2013-17-12,415,1995
2013-18-12,324,960
2013-19-12,358,897
2013-20-12,291,1166
2013-21-12,165,619
2013-22-12,131,288
2013-23-12,207,497
2013-24-12,126,313
2013-25-12,79,170
2013-26-12,228,622
2013-27-12,217,2483
2013-28-12,164,2365
2013-29-12,149,3028
2013-30-12,201,1187
2013-31-12,183,1811
2014-01-01,126,2234
2014-02-01,288,2634
2014-03-01,281,3111
2014-04-01,185,1900
2014-05-01,192,2574
2014-06-01,432,2653
2014-07-01,622,3329
2014-08-01,563,2009
2014-09-01,604,3562
2014-10-01,402,1826
2014-11-01,206,2623
2014-12-01,274,1078
2014-13-01,473,1517
2014-14-01,443,1693
2014-15-01,432,1356
2014-16-01,453,1188
2014-17-01,369,905
2014-18-01,202,614
2014-19-01,222,711
2014-20-01,428,1243
2014-21-01,423,1203
2014-22-01,409,1079
2014-23-01,427,1359
2014-24-01,429,1185
2014-25-01,262,624
2014-26-01,219,750
2014-27-01,501,1369
2014-28-01,485,1215
2014-29-01,468,1371
2014-30-01,457,1615
2014-31-01,387,1144
2014-01-02,228,612
2014-02-02,226,612
2014-03-02,475,1383
2014-04-02,469,1245
2014-05-02,453,1411
2014-06-02,462,1364
2014-07-02,364,1036
2014-08-02,234,598
2014-09-02,229,696
2014-10-02,378,1064
2014-11-02,426,1129
2014-12-02,413,1363
2014-13-02,425,1124
2014-14-02,377,1124
2014-15-02,217,649
2014-16-02,234,682
2014-17-02,474,1271
2014-18-02,473,1573
