date,users,pageviews
2014-06-12,0,1543
2014-06-13,0,1204
2014-06-14,0,587
2014-06-15,0,604
2014-06-16,0,1297
2014-06-17,0,1550
2014-06-18,0,1547
2014-06-19,0,1344
2014-06-20,0,1239
2014-06-21,0,394
2014-06-22,0,564
2014-06-23,0,1194
2014-06-24,0,1221
2014-06-25,0,1071
2014-06-26,0,964
2014-06-27,0,1024
2014-06-28,0,478
2014-06-29,0,531
2014-06-30,0,1156
2014-07-01,0,1114
2014-07-02,0,1441
2014-07-03,0,1079
2014-07-04,0,1041
2014-07-05,0,331
2014-07-06,0,467
2014-07-07,0,2306
2014-07-08,0,1384
2014-07-09,0,1257
2014-07-10,0,1181
2014-07-11,0,954
2014-07-12,0,548
2014-07-13,0,368
2014-07-14,0,629
2014-07-15,0,1471
2014-07-16,0,1636
2014-07-17,0,1531
2014-07-18,0,833
2014-07-19,0,450
2014-07-20,0,387
2014-07-21,0,1040
2014-07-22,0,825
2014-07-23,0,928
2014-07-24,0,1613
2014-07-25,0,1117
2014-07-26,0,515
2014-07-27,0,453
2014-07-28,0,1016
2014-07-29,0,1053
2014-07-30,0,1246
2014-07-31,0,921
2014-08-01,0,725
2014-08-02,0,515
2014-08-03,0,1397
2014-08-04,0,1659
2014-08-05,0,1972
2014-08-06,0,1935
2014-08-07,0,1401
2014-08-08,0,963
2014-08-09,0,586
2014-08-10,0,504
2014-08-11,0,863
2014-08-12,0,929
2014-08-13,0,831
2014-08-14,0,511
2014-08-15,0,399
2014-08-16,0,319
2014-08-17,0,364
2014-08-18,0,975
2014-08-19,0,761
2014-08-20,0,856
2014-08-21,0,1123
2014-08-22,0,958
2014-08-23,0,459
2014-08-24,0,312
2014-08-25,0,1188
2014-08-26,0,1196
2014-08-27,0,1227
2014-08-28,0,980
2014-08-29,0,904
2014-08-30,0,556
2014-08-31,0,417
2014-09-01,0,1158
2014-09-02,0,1234
2014-09-03,0,1276
2014-09-04,0,1344
2014-09-05,0,1330
2014-09-06,0,689
2014-09-07,0,584
2014-09-08,0,1264
2014-09-09,0,1309
2014-09-10,0,1733
2014-09-11,0,1432
2014-09-12,0,1568
2014-09-13,0,544
2014-09-14,0,861
2014-09-15,0,1613
2014-09-16,0,2026
2014-09-17,0,1662
2014-09-18,0,1447
2014-09-19,0,1267
2014-09-20,0,616
2014-09-21,0,923
2014-09-22,0,2448
2014-09-23,0,1935
2014-09-24,0,2072
2014-09-25,0,2021
2014-09-26,0,4897
2014-09-27,0,2902
2014-09-28,0,11315
2014-09-29,0,11994
2014-09-30,0,4302
2014-10-01,0,3670
2014-10-02,0,2533
2014-10-03,0,1814
2014-10-04,0,1168
2014-10-05,0,1077
2014-10-06,0,1961
2014-10-07,0,1811
2014-10-08,0,1646
2014-10-09,0,2027
2014-10-10,0,1689
2014-10-11,0,784
2014-10-12,0,785
2014-10-13,0,1647
2014-10-14,0,1688
2014-10-15,0,1354
2014-10-16,0,1640
2014-10-17,0,1618
2014-10-18,0,707
2014-10-19,0,898
2014-10-20,0,1571
2014-10-21,0,1680
2014-10-22,0,1947
2014-10-23,0,1822
2014-10-24,0,1344
2014-10-25,0,644
2014-10-26,0,1044
2014-10-27,0,1732
2014-10-28,0,1827
2014-10-29,0,1847
2014-10-30,0,1948
2014-10-31,0,1448
2014-11-01,0,568
2014-11-02,0,801
2014-11-03,0,1651
2014-11-04,0,1904
2014-11-05,0,2180
2014-11-06,0,3011
2014-11-07,0,1609
2014-11-08,0,509
2014-11-09,0,1013
2014-11-10,0,1724
2014-11-11,0,1347
2014-11-12,0,1789
2014-11-13,0,1833
2014-11-14,0,1617
2014-11-15,0,728
2014-11-16,0,962
2014-11-17,0,4888
2014-11-18,0,5290
2014-11-19,0,4483
2014-11-20,0,4575
2014-11-21,0,3645
2014-11-22,0,1235
2014-11-23,0,1262
2014-11-24,0,2193
2014-11-25,0,2274
2014-11-26,0,4146
2014-11-27,0,2347
2014-11-28,0,1847
2014-11-29,0,1138
2014-11-30,0,930
2014-12-01,0,1929
2014-12-02,0,1999
2014-12-03,0,2274
2014-12-04,0,1946
2014-12-05,0,2272
2014-12-06,0,847
2014-12-07,0,950
2014-12-08,0,2314
2014-12-09,0,2053
2014-12-10,0,2213
2014-12-11,0,1924
2014-12-12,0,2210
2014-12-13,0,861
2014-12-14,0,740
2014-12-15,0,2161
2014-12-16,0,2147
2014-12-17,0,1772
2014-12-18,0,1788
2014-12-19,0,1349
2014-12-20,0,780
2014-12-21,0,692
2014-12-22,0,1740
2014-12-23,0,1291
2014-12-24,0,986
2014-12-25,0,417
2014-12-26,0,804
2014-12-27,0,745
2014-12-28,0,1299
2014-12-29,0,2139
2014-12-30,0,1459
2014-12-31,0,1124
2015-01-01,0,554
2015-01-02,0,1199
2015-01-03,0,744
2015-01-04,0,668
2015-01-05,0,1564
2015-01-06,0,2085
2015-01-07,0,1450
2015-01-08,0,1316
2015-01-09,0,1118
2015-01-10,0,545
2015-01-11,0,571
2015-01-12,0,2106
2015-01-13,0,1836
2015-01-14,0,1482
2015-01-15,0,1566
2015-01-16,0,1506
2015-01-17,0,830
2015-01-18,0,864
2015-01-19,0,2043
2015-01-20,0,1775
2015-01-21,0,1807
2015-01-22,0,1867
2015-01-23,0,1805
2015-01-24,0,1098
2015-01-25,0,1049
2015-01-26,0,1913
2015-01-27,0,1968
2015-01-28,0,4030
2015-01-29,0,23508
2015-01-30,0,8034
